PersonID,Weight,Province,MBMREGP,Age_gap,Gender,Marital_status,Highschool,Highest_edu,Work_ref,Work_yearly,Emp_week_ref,Total_hour_ref,paid_emp_ref,self_emp_ref,Immigrant,Year_immigrant,income_after_tax,Cap_gain,Childcare_expe,Child_benefit,CPP_QPP,Earning,Guaranteed_income,Investment,Old_age_pension,Private_pension,Self_emp_income,Pension,Self_emp_income,Total_income,Emp_insurance,Salary_wages,compensation,Family_mem,CFCOMP,CONDMP,RENTM
1,139.65,59,38,15,2,3,1,3,2,30,96,9996,6,6,2,6,20275,0,0,0,5000,0,7750,0,7000,0,0,0,0,20275,0,0,0,1,1,99999996,99999996
2,254.1041,35,17,9,1,1,1,2,1,11,52,2080,1,2,2,6,61680,0,0,0,0,70000,0,0,0,0,0,0,0,110875,0,106000,0,4,4,99999996,99999996
3,254.1041,35,17,9,2,1,1,3,1,11,52,2080,1,2,2,6,26875,0,0,4500,0,22000,0,0,0,0,0,0,0,110875,0,106000,0,4,4,99999996,99999996
4,254.1041,35,17,4,1,4,2,1,1,11,52,2080,1,2,2,6,14000,0,0,0,0,14000,0,0,0,0,0,0,0,110875,0,106000,0,4,4,99999996,99999996
5,254.1041,35,17,3,1,96,6,6,6,96,96,9996,6,6,6,6,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,0,0,110875,0,106000,0,4,4,99999996,99999996
6,738.8076,24,12,12,2,3,1,2,1,11,52,1950,1,2,2,6,42200,0,0,5500,0,27000,0,0,0,0,0,0,0,75775,0,59500,100,3,6,99999996,600
7,738.8076,24,12,4,1,4,2,1,1,22,12,180,1,2,2,6,7500,0,0,0,0,7500,0,0,0,0,0,0,0,75775,0,59500,100,3,6,99999996,600
8,738.8076,24,12,5,1,4,9,9,1,22,40,1000,1,2,2,6,23965,0,0,0,0,25000,0,0,0,0,0,0,0,75775,0,59500,100,3,6,99999996,600
9,538.4116,24,14,15,2,3,1,2,2,30,96,9996,6,6,2,6,21050,0,0,0,6500,0,6250,0,7000,0,0,0,0,21050,0,0,0,1,1,99999996,400
10,1227.6919,24,10,9,1,1,1,4,1,21,32,1280,1,2,1,3,31270,0,0,0,0,28000,0,0,0,0,0,0,0,77000,21500,43500,0,4,4,99999996,99999996
11,1227.6919,24,10,7,2,1,1,3,1,21,24,960,1,2,2,6,39040,0,2300,8000,0,15500,0,0,0,0,0,0,0,77000,21500,43500,0,4,4,99999996,99999996
12,1227.6919,24,10,1,1,96,6,6,6,96,96,9996,6,6,6,6,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,0,0,77000,21500,43500,0,4,4,99999996,99999996
13,1227.6919,24,10,2,1,96,6,6,6,96,96,9996,6,6,6,6,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,0,0,77000,21500,43500,0,4,4,99999996,99999996
14,292.4479,59,39,7,2,1,1,3,2,30,0,9996,6,6,2,6,4100,0,0,3500,0,0,0,0,0,0,0,0,0,80700,0,75000,0,3,4,99999996,99999996
